title,category
 속보   대통령  민간 공기업 금융 정부 모두 수출증진 위한 팀코리아 ,Politics
 대통령  수출이  국민 일자리  원천 정부  기업 도와주는 조직 ,Politics
윤 대통령  정쟁  국경 앞에서 멈춰야 수출 전략 직접 점검 ,Politics
아세안 중동 등 시장 맞춤형 공략  부처 수출역량 강화,Politics
   발리서 의전차 대신 벤츠만  대통령실  기본적으로 G80 탔다 ,Politics
    G20서 벤츠만 이용  사실 아냐  vs  공항 픽업차량이 중요  종합 ,Politics
이원욱     인니서  벤츠 사랑   대통령실  공식 자리 G80 탔다 ,Politics
 왜 제네시스 아닌 벤츠 타셨나   질의에 대통령실  G20 개최국 제공 방탄차량 특정구간서만 이용 ,Politics
  공부모임  새미래  재개 김기현 나경원 안철수 한 자리에,Politics
국민의힘 당권주자  세력화에 주력 비윤계는 고심,Politics
김기현 공부모임에 의원 50명  빼곡   나경원  한국 미래 우리당에 있다 ,Politics
 나경원 연대설  김기현  공감대 이뤄왔던 사이 잘 보필하겠다 ,Politics
 안전 운임제  유지 요구   화물연대 총파업 예고,Politics
집권 여당  노정관계  시험대   답 정해진 정치파업 ,Politics
주호영   화물연대 파업 예고 에  정치적 파업 민노총  퇴진 앞장서 ,Politics
주호영  화물연대  집단 운송거부 시 모든 법적 책임져야 ,Politics
김건희 여사  케냐 대통령 부인과 환담  한국 발전의 비결은 부지런함과 교육열 ,Politics
김건희 여사  케냐 대통령 부인과 환담  인간 동물 공존 세상 고민 ,Politics
박홍근  국힘  국정조사서 정부 방패막이 자처 말길 ,Politics
박홍근  특수본  이상민 윤희근 조사계획조차 없어 국조 특검 모두 추진 ,Politics
 김여정   서울 과녁  언급하며 위협   대통령 향해선  천치바보 ,Politics
김여정  윤 대통령에 막말 위협   저 천치바보 왜 두고보나   문재인이 앉아 해먹을 때는 서울은 과녁 아니었다 ,Politics
윤 대통령  2030엑스포 유치전 아프리카 대사단 만찬,Politics
진화하는  아프리카 외교   정부 출범 후 40국 이상 방문,Politics
    국정조사 협의  일부 수용   민주당 제안대로 우리 요구대로 ,Politics
이태원 참사 국조  내일부터 45일간 예산처리 후 개시 종합2보 ,Politics
머스크  테슬라 기가팩토리  한국은 최우선 건설 후보지 ,Politics
 투자요청에 머스크  한국은 최우선 후보지 중 하나 ,Politics
저출산고령사회위  관계부처 차관회의 개최  종합대책 마련 ,Politics
 외연  넓히는 저출산위  나경원  인구미래전략 기획 ,Politics
한중 국방장관 회담        대화 나오도록   건설적 역할해야 ,Politics
